date,registrations,low,high,ev_registrations,ev_low,ev_high
2010,4171481,0,0,0,0,0
2011,4239530,0,0,0,0,0
2012,4307579,0,0,0,0,0
2013,4375628,4375628,4375628,172,172,172
2014,4443677,4434789,4452564,254,253,255
2015,4510913,4492869,4528956,357,355,358
2016,4566569,4539169,4593968,505,501,508
2017,4614140,4577226,4651053,735,729,740
2018,4694522,4647576,4741467,1286,1273,1298
2019,5235502,5172675,5298328,1992,1968,2015
2020,4815186,4747773,4882598,2940,2898,2981
2021,4817463,4740383,4894542,4719,4643,4794
2022,4807472,4720937,4894006,7773,7633,7912
2023,4358966,4271786,4446145,11713,11478,11947
2024,4000000,3912000,4088000,11787,11527,12046
2025,3900000,3806400,3993600,2637,2573,2700
2026,3800000,3701200,3898800,3608,3514,3702
2027,3750000,3645000,3855000,4938,4800,5076
2028,3700000,3589000,3811000,6758,6555,6960
2029,3650000,3533200,3766800,9248,8952,9544
2030,3600000,3477600,3722400,12656,12225,13086
2031,3550000,3422200,3677800,17319,16696,17943
2032,3500000,3367000,3633000,23701,22801,24602
2033,3450000,3312000,3588000,32435,31137,33732
2034,3400000,3257200,3542800,44387,42522,46251
2035,3350000,3202600,3497400,60742,58070,63415
2036,3300000,3148200,3451800,83125,79301,86948
2037,3250000,3094000,3406000,113755,108294,119215
2038,3200000,3040000,3360000,155671,147887,163454
2039,3150000,2986200,3313800,213033,201955,224110
2040,3100000,2932600,3267400,291531,275788,307273
2041,3050000,2879200,3220800,398954,376613,421295
2042,3000000,2826000,3174000,545961,514295,577626
2043,2950000,2773000,3127000,747136,702308,791964
2044,2900000,2720200,3079800,1022440,959048,1085831
2045,2850000,2667600,3032400,1399188,1309639,1488736
2046,2800000,2615200,2984800,1914760,1788385,2041134
2047,2750000,2563000,2937000,2620309,2442127,2798490
2048,2700000,2511000,2889000,3585838,3334829,3836846
2049,2650000,2459200,2840800,4907144,4553829,5260458
2050,2600000,2407600,2792400,6715325,6218390,7212259
