date,Index,most_likely,ml_low,ml_high,best_case,bc_low,bc_high,worst_case,wc_low,wc_high,model_1,1_low,1_high,model_2,2_low,2_high,,,,
2010,,0,0,0,,,,,,,,,,,,,,,a,230
2011,,0,0,0,,,,,,,,,,,,,,,b,0.283
2012,,0,0,0,,,,,,,,,,,,,,,,
2013,0,172,172,172,,,,,,,,,,,,,,,,
2014,1,254,253,255,,,,,,,,,,,,,,,,
2015,2,357,355,358,,,,,,,,,,,,,,,,
2016,3,505,501,508,,,,,,,,,,,,,,,,
2017,4,735,729,740,,,,,,,,,,,,,,,,
2018,5,1286,1273,1298,,,,,,,,,,,,,,,,
2019,6,1992,1968,2015,,,,,,,,,,,,,,,,
2020,7,2940,2898,2981,,,,,,,,,,,,,,,,
2021,8,4719,4643,4794,,,,,,,,,,,,,,,,
2022,9,7773,7633,7912,,,,,,,,,,,,,,,,
2023,10,11713,11478,11947,,,,,,,,,,,,,,,,
2024,11,11787,11527,12046,6235,6235,6235,4270,4270,4270,5586,5586,5586,5172,5172,5172,,,,
2025,12,2637,2573,2700,8417,8391,8442,5570,5553,5586,7465,7442,7487,6864,6843,6884,,,,
2026,13,3608,3514,3702,11362,11293,11430,7264,7220,7307,9977,9917,10036,9109,9054,9163,,,,
2027,14,4938,4800,5076,15337,15198,15475,9474,9388,9559,13334,13213,13454,12089,11980,12197,,,,
2028,15,6758,6555,6960,20703,20454,20951,12356,12207,12504,17820,17606,18033,16043,15850,16235,,,,
2029,16,9248,8952,9544,27947,27527,28366,16115,15873,16356,23815,23457,24172,21291,20971,21610,,,,
2030,17,12656,12225,13086,37725,37045,38404,21017,20638,21395,31827,31254,32399,28256,27747,28764,,,,
2031,18,17319,16696,17943,50923,49853,51992,27410,26834,27985,42534,41640,43427,37499,36711,38286,,,,
2032,19,23701,22801,24602,68739,67089,70388,35749,34891,36606,56844,55479,58208,49765,48570,50959,,,,
2033,20,32435,31137,33732,92788,90282,95293,46624,45365,47882,75968,73916,78019,66044,64260,67827,,,,
2034,21,44387,42522,46251,125251,121493,129008,60807,58982,62631,101526,98480,104571,87647,85017,90276,,,,
2035,22,60742,58070,63415,169071,163491,174650,79305,76687,81922,135683,131205,140160,116317,112478,120155,,,,
2036,23,83125,79301,86948,228223,220006,236439,103429,99705,107152,181330,174802,187857,154365,148807,159922,,,,
2037,24,113755,108294,119215,308069,296054,320083,134893,129632,140153,242335,232883,251786,204859,196869,212848,,,,
2038,25,155671,147887,163454,415849,398383,433314,175927,168538,183315,323864,310261,337466,271870,260451,283288,,,,
2039,26,213033,201955,224110,561338,536077,586598,229445,219119,239770,432820,413343,452296,360800,344564,377036,,,,
2040,27,291531,275788,307273,757727,721356,794097,299242,284878,313605,578433,550668,606197,478819,455835,501802,,,,
2041,28,398954,376613,421295,1022825,970660,1074989,390272,370368,410175,773034,733609,812458,635444,603036,667851,,,,
2042,29,545961,514295,577626,1380669,1306112,1455225,508992,481506,536477,1033104,977316,1088891,843301,797762,888839,,,,
2043,30,747136,702308,791964,1863709,1757477,1969940,663828,625989,701666,1380669,1301970,1459367,1119149,1055357,1182940,,,,
2044,31,1022440,959048,1085831,2515744,2364799,2666688,865765,813819,917710,1845165,1734455,1955874,1485228,1396114,1574341,,,,
2045,32,1399188,1309639,1488736,3395899,3181957,3609840,1129131,1057995,1200266,2465929,2310575,2621282,1971054,1846877,2095230,,,,
2046,33,1914760,1788385,2041134,4583985,4281441,4886528,1472613,1375420,1569805,3295535,3078029,3513040,2615796,2443153,2788438,,,,
2047,34,2620309,2442127,2798490,6187732,5760778,6614685,1920582,1788061,2053102,4404244,4100351,4708136,3471437,3231907,3710966,,,,
2048,35,3585838,3334829,3836846,8352565,7751180,8953949,2504824,2324476,2685171,5885953,5462164,6309741,4606962,4275260,4938663,,,,
2049,36,4907144,4553829,5260458,11274784,10429175,12120392,3266792,3021782,3511801,7866150,7276188,8456111,6113923,5655378,6572467,,,,
2050,37,6715325,6218390,7212259,15219366,14032255,16406476,4260552,3928228,4592875,10512539,9692560,11332517,8113819,7480941,8746696,,,,
