date,registrations,low,high
2010,4171481,0,0
2011,4239530,0,0
2012,4307579,0,0
2013,4375628,4375628,4375628
2014,4443677,4434789,4452564
2015,4510913,4492869,4528956
2016,4566569,4539169,4593968
2017,4614140,4577226,4651053
2018,4694522,4647576,4741467
2019,5235502,5172675,5298328
2020,4815186,4747773,4882598
2021,4817463,4740383,4894542
2022,4807472,4720937,4894006
2023,4358966,4271786,4446145
2024,4000000,3912000,4088000
2025,3900000,3806400,3993600
2026,3800000,3701200,3898800
2027,3750000,3645000,3855000
2028,3700000,3589000,3811000
2029,3650000,3533200,3766800
2030,3600000,3477600,3722400
2031,3550000,3422200,3677800
2032,3500000,3367000,3633000
2033,3450000,3312000,3588000
2034,3400000,3257200,3542800
2035,3350000,3202600,3497400
2036,3300000,3148200,3451800
2037,3250000,3094000,3406000
2038,3200000,3040000,3360000
2039,3150000,2986200,3313800
2040,3100000,2932600,3267400
2041,3050000,2879200,3220800
2042,3000000,2826000,3174000
2043,2950000,2773000,3127000
2044,2900000,2720200,3079800
2045,2850000,2667600,3032400
2046,2800000,2615200,2984800
2047,2750000,2563000,2937000
2048,2700000,2511000,2889000
2049,2650000,2459200,2840800
2050,2600000,2407600,2792400
