date,registrations,low,high,ev_registrations,ev_low,ev_high,most_likely,ml_low,ml_high,best_case,bc_low,bc_high,worst_case,wc_low,wc_high,model_1,m1_low,m1_high,model_2,m2_low,m2_high
2010,16234232,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2011,16656232,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2012,16978232,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2013,17200232,0,0,172,0,0,172,0,0,,,,,,,,,,,,
2014,17422232,0,0,254,0,0,254,0,0,,,,,,,,,,,,
2015,17604232,0,0,357,0,0,357,0,0,,,,,,,,,,,,
2016,17686232,0,0,505,0,0,505,0,0,,,,,,,,,,,,
2017,17768232,0,0,735,0,0,735,0,0,,,,,,,,,,,,
2018,17850232,0,0,1286,0,0,1286,0,0,,,,,,,,,,,,
2019,17932232,0,0,1992,0,0,1992,0,0,,,,,,,,,,,,
2020,18014232,0,0,2940,0,0,2940,0,0,,,,,,,,,,,,
2021,18096232,0,0,4719,0,0,4719,0,0,,,,,,,,,,,,
2022,18178232,0,0,7773,0,0,7773,0,0,,,,,,,,,,,,
2023,18260232,0,0,11713,0,0,11713,0,0,,,,,,,,,,,,
2024,18148232,0,0,11787,0,0,11787,11527,12046,6235,6235,6235,4270,4270,4270,5586,5586,5586,5172,5172,5172
2025,18036232,18036232,18036232,2637,2637,2637,2637,2573,2700,8417,8391,8442,5570,5553,5586,7465,7442,7487,6864,6843,6884
2026,17924232,17852535,17995928,3608,3579,3636,3608,3514,3702,11362,11293,11430,7264,7220,7307,9977,9917,10036,9109,9054,9163
2027,17712232,17570534,17853929,4938,4858,5017,4938,4800,5076,15337,15198,15475,9474,9388,9559,13334,13213,13454,12089,11980,12197
2028,17500232,17290229,17710234,6758,6595,6920,6758,6555,6960,20703,20454,20951,12356,12207,12504,17820,17606,18033,16043,15850,16235
2029,17288232,17011620,17564843,9248,8952,9543,9248,8952,9544,27947,27527,28366,16115,15873,16356,23815,23457,24172,21291,20971,21610
2030,17076232,16734707,17417756,12656,12149,13162,12656,12225,13086,37725,37045,38404,21017,20638,21395,31827,31254,32399,28256,27747,28764
2031,16864232,16459490,17268973,17319,16487,18150,17319,16696,17943,50923,49853,51992,27410,26834,27985,42534,41640,43427,37499,36711,38286
2032,16652232,16185969,17118494,23701,22373,25028,23701,22801,24602,68739,67089,70388,35749,34891,36606,56844,55479,58208,49765,48570,50959
2033,16440232,15914144,16966319,32435,30359,34510,32435,31137,33732,92788,90282,95293,46624,45365,47882,75968,73916,78019,66044,64260,67827
2034,16228232,15644015,16812448,44387,41191,47582,44387,42522,46251,125251,121493,129008,60807,58982,62631,101526,98480,104571,87647,85017,90276
2035,16016232,15375582,16656881,60742,55882,65601,60742,58070,63415,169071,163491,174650,79305,76687,81922,135683,131205,140160,116317,112478,120155
2036,15804232,15108845,16499618,83125,75810,90440,83125,79301,86948,228223,220006,236439,103429,99705,107152,181330,174802,187857,154365,148807,159922
2037,15592232,14843804,16340659,113755,102834,124675,113755,108294,119215,308069,296054,320083,134893,129632,140153,242335,232883,251786,204859,196869,212848
2038,15380232,14580459,16180004,155671,139481,171860,155671,147887,163454,415849,398383,433314,175927,168538,183315,323864,310261,337466,271870,260451,283288
2039,15168232,14318811,16017652,213033,189173,236892,213033,201955,224110,561338,536077,586598,229445,219119,239770,432820,413343,452296,360800,344564,377036
2040,14956232,14058858,15853605,291531,256547,326514,291531,275788,307273,757727,721356,794097,299242,284878,313605,578433,550668,606197,478819,455835,501802
2041,14744232,13800601,15687862,398954,347887,450020,398954,376613,421295,1022825,970660,1074989,390272,370368,410175,773034,733609,812458,635444,603036,667851
2042,14532232,13544040,15520423,545961,471710,620211,545961,514295,577626,1380669,1306112,1455225,508992,481506,536477,1033104,977316,1088891,843301,797762,888839
2043,14320232,13289175,15351288,747136,639548,854723,747136,702308,791964,1863709,1757477,1969940,663828,625989,701666,1380669,1301970,1459367,1119149,1055357,1182940
2044,14108232,13036006,15180457,1022440,867029,1177850,1022440,959048,1085831,2515744,2364799,2666688,865765,813819,917710,1845165,1734455,1955874,1485228,1396114,1574341
2045,13896232,12784533,15007930,1399188,1175317,1623058,1399188,1309639,1488736,3395899,3181957,3609840,1129131,1057995,1200266,2465929,2310575,2621282,1971054,1846877,2095230
2046,13784232,12626356,14942107,1914760,1593080,2236439,1914760,1788385,2041134,4583985,4281441,4886528,1472613,1375420,1569805,3295535,3078029,3513040,2615796,2443153,2788438
2047,13672232,12469075,14875388,2620309,2159134,3081483,2620309,2442127,2798490,6187732,5760778,6614685,1920582,1788061,2053102,4404244,4100351,4708136,3471437,3231907,3710966
2048,13560232,12312690,14807773,3585838,2926043,4245632,3585838,3334829,3836846,8352565,7751180,8953949,2504824,2324476,2685171,5885953,5462164,6309741,4606962,4275260,4938663
2049,13448232,12157201,14739262,4907144,3964972,5849315,4907144,4553829,5260458,11274784,10429175,12120392,3266792,3021782,3511801,7866150,7276188,8456111,6113923,5655378,6572467
2050,13336232,12002608,14669855,6715325,5372260,8058390,6715325,6218390,7212259,15219366,14032255,16406476,4260552,3928228,4592875,10512539,9692560,11332517,8113819,7480941,8746696
